pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	9	0	2	0	0	0	0	0	0	0	0	0	0
education---other	29	59	39	22	10	12	8	6	2	2	3	1	7
home---education	48	61	30	11	6	8	6	4	3	2	5	1	15
home---leisure	610	260	178	65	19	19	19	7	9	5	5	2	6
home---other	204	203	182	71	54	34	22	7	15	3	6	0	20
home---pt interaction	18	35	39	17	22	21	11	17	8	4	4	3	47
home---sharing booking interaction	26	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	163	142	89	46	29	20	13	7	6	7	1	1	3
home---work	230	459	260	113	93	41	52	20	33	12	7	9	63
leisure---home	614	294	188	72	30	22	21	8	8	5	4	2	6
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	3	3	2	4	2	2	2	2	0	1	0	1	2
leisure---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	96	134	57	28	20	12	4	5	3	2	3	2	5
other---home	127	270	187	102	68	46	35	18	16	8	8	4	27
other---leisure	41	67	38	22	17	7	3	2	2	0	1	0	4
other---other	54	95	71	38	24	21	13	6	5	1	0	0	6
other---pt interaction	3	9	11	8	4	1	2	4	4	2	5	1	6
other---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	42	58	25	16	10	4	6	1	1	0	1	1	1
other---work	4	9	10	7	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	14	25	34	22	10	16	3	8	6	2	3	5	37
pt interaction---leisure	5	3	6	3	1	2	2	1	0	0	0	0	5
pt interaction---other	4	7	13	8	1	4	2	4	2	3	1	3	5
pt interaction---pt interaction	69	25	29	33	31	40	32	24	26	24	26	26	259
pt interaction---shop	2	4	3	1	1	3	0	1	1	0	0	0	0
pt interaction---work	43	60	58	17	25	5	2	5	1	6	0	3	7
sharing booking interaction---sharing pickup interaction	59	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	11	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	21	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	6	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	3	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	15	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	30	18	11	0	1	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing pickup interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
shop---home	147	133	66	39	20	16	11	8	4	4	1	1	3
shop---leisure	11	26	13	10	3	3	0	1	1	0	0	1	0
shop---pt interaction	1	6	2	1	3	3	1	1	1	0	0	1	3
shop---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	42	67	26	10	6	5	3	1	1	1	1	0	0
work---home	205	499	295	124	82	46	45	37	25	28	7	7	88
work---leisure	50	60	20	7	6	4	3	4	1	0	3	1	4
work---other	48	111	73	46	37	20	11	11	2	3	4	0	4
work---pt interaction	30	39	39	16	22	5	0	1	1	3	0	0	3
work---sharing booking interaction	29	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1068.8913008130082 seconds = 00:17:48
