pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	7	0	2	0	0	0	0	0	0	0	0	0	0
education---other	29	61	37	22	9	13	8	6	2	2	3	1	7
home---education	48	62	29	10	7	8	7	3	3	2	5	1	15
home---leisure	623	247	175	63	23	17	19	8	9	6	4	2	6
home---other	200	212	178	70	64	32	20	6	16	3	6	0	20
home---pt interaction	16	29	36	20	23	24	12	12	7	4	4	5	44
home---sharing booking interaction	23	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	161	148	88	46	25	19	13	6	7	7	1	1	3
home---work	229	473	261	114	83	46	46	26	34	14	5	9	62
leisure---home	610	301	193	72	28	20	20	7	9	5	4	2	6
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	3	6	3	4	2	3	1	2	1	1	0	0	1
leisure---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	101	134	56	25	18	11	5	5	3	2	3	2	5
other---home	127	271	193	108	62	49	35	16	17	8	8	4	27
other---leisure	43	59	42	27	14	7	4	3	2	0	1	0	4
other---other	54	95	73	36	23	21	12	6	5	1	0	0	7
other---pt interaction	4	6	10	7	6	1	6	2	5	2	5	1	6
other---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	44	54	26	15	11	6	6	1	1	0	1	1	1
other---work	3	10	8	7	0	1	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	1	0	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	12	27	33	21	13	17	4	10	7	2	3	5	36
pt interaction---leisure	3	5	5	3	2	2	1	1	1	0	0	1	5
pt interaction---other	2	8	7	9	2	7	3	4	3	4	1	2	6
pt interaction---pt interaction	69	25	27	35	25	49	30	26	29	23	24	19	265
pt interaction---shop	2	4	3	0	3	3	0	0	1	1	0	0	1
pt interaction---work	41	49	60	20	25	6	2	4	3	6	0	2	7
sharing booking interaction---sharing pickup interaction	45	7	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	15	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	6	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	3	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	14	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	22	17	11	1	0	0	0	0	0	0	0	0	0
shop---home	150	134	66	36	22	15	12	9	4	4	1	1	3
shop---leisure	13	27	10	10	3	3	0	1	1	0	0	1	0
shop---pt interaction	0	5	1	1	2	2	1	1	1	0	0	1	2
shop---sharing booking interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	42	63	30	12	6	5	2	1	1	1	1	0	0
work---home	205	498	278	133	81	48	40	39	23	28	7	7	88
work---leisure	47	62	24	6	6	5	3	4	1	0	3	1	4
work---other	50	107	79	46	35	21	10	12	2	1	4	0	4
work---pt interaction	33	41	52	17	19	2	2	0	1	4	0	0	4
work---sharing booking interaction	21	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1077.6314204314203 seconds = 00:17:57
