ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	7463.293610913379	7521.163222165486	
1	7319.501853642257	7564.536953202558	
2	7169.091232426273	7562.129022073873	
3	7072.924857161384	7577.863701186145	
4	7018.0159792341965	7578.376797828981	
5	6980.688739284199	7586.586538468167	
6	6934.759648593323	7584.954517099316	
7	6900.944697504113	7605.08824160089	
8	6902.554054335959	7620.091357618331	
9	6892.811802075316	7623.139659784239	
10	6854.680372831238	7620.336175342013	
11	6822.661431812748	7623.836316265357	
12	6831.30461887375	7630.035158029608	
13	6809.544634831248	7637.58038049587	
14	6794.213810325034	7639.7889861520525	
15	6806.038525803565	7650.687922488792	
16	6813.853488160488	7647.56607862763	
17	6814.622257572888	7651.363296915975	
18	6795.745548198197	7646.065127006076	
19	6796.583363804517	7638.344044948026	
20	6825.203264546978	7643.697280829592	
21	6815.801710762183	7652.715382930318	
22	6818.036186832902	7654.444518284882	
23	6796.549059555063	7651.899648043263	
24	6814.437265569527	7647.510688667332	
25	6801.802795282695	7648.050060167964	
26	6778.267222635762	7645.554985605949	
27	6773.611288575367	7645.521286007638	
28	6791.508710965653	7645.486479472698	
29	6788.792223810473	7642.916260625831	
30	6792.191286807023	7641.101587570071	
31	6783.376224055084	7635.754694433673	
32	6796.066943174943	7636.692575512375	
33	6807.511565735204	7666.206744605526	
34	6795.6974649019	7654.622479544446	
35	6761.7427366837655	7649.788208668797	
36	6748.377958561548	7649.562615499452	
37	6738.421524054063	7646.4153086791575	
38	6741.296380944082	7650.119907597996	
39	6761.306152925456	7657.6821032415655	
40	6774.562654615314	7658.079119134348	
41	6785.580003406184	7656.563022967465	
42	6780.662864663286	7647.230458260128	
43	6763.842751064225	7644.951685540805	
44	6744.812229317679	7628.580433978729	
45	6736.268668238598	7642.385818478307	
46	6736.268668238598	7642.385818478307	
47	6736.268668238598	7642.385818478307	
48	6736.268668238598	7642.385818478307	
49	6736.268668238598	7642.385818478307	
50	6736.268668238598	7642.385818478307	
