Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:39:09	17:39:09	17:39:09			17:39:09	17:39:09	17:39:09	17:39:09	17:39:09	17:39:09	17:39:09	17:39:22	17:39:22	17:39:22	17:39:22	17:39:22	17:39:22			17:39:26	17:39:26		00:00:00		00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:03	00:00:17
1	17:39:26	17:39:26	17:39:26	17:39:26	17:39:27	17:39:27	17:39:27	17:39:28	17:39:28	17:39:28	17:39:28	17:39:28	17:39:40	17:39:40	17:39:40	17:39:40	17:39:40	17:39:40			17:39:41	17:39:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
2	17:39:41	17:39:41	17:39:41	17:39:41	17:39:41	17:39:41	17:39:42	17:39:42	17:39:42	17:39:42	17:39:42	17:39:42	17:39:54	17:39:54	17:39:54	17:39:54	17:39:54	17:39:54			17:39:55	17:39:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
3	17:39:55	17:39:55	17:39:55	17:39:55	17:39:56	17:39:56	17:39:56	17:39:56	17:39:56	17:39:56	17:39:56	17:39:56	17:40:07	17:40:07	17:40:07	17:40:07	17:40:07	17:40:07			17:40:09	17:40:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
4	17:40:09	17:40:09	17:40:09	17:40:09	17:40:09	17:40:09	17:40:09	17:40:10	17:40:10	17:40:10	17:40:10	17:40:10	17:40:22	17:40:22	17:40:22	17:40:22	17:40:22	17:40:22			17:40:23	17:40:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:14
5	17:40:23	17:40:23	17:40:23	17:40:23	17:40:24	17:40:24	17:40:24	17:40:25	17:40:25	17:40:25	17:40:25	17:40:25	17:40:36	17:40:36	17:40:36	17:40:36	17:40:36	17:40:36			17:40:38	17:40:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:02	00:00:15
6	17:40:38	17:40:38	17:40:38	17:40:38	17:40:39	17:40:39	17:40:39	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:54	17:40:54	17:40:54	17:40:54	17:40:54	17:40:54			17:40:55	17:40:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
7	17:40:55	17:40:55	17:40:55	17:40:55	17:40:55	17:40:55	17:40:55	17:40:56	17:40:56	17:40:56	17:40:56	17:40:56	17:41:08	17:41:08	17:41:08	17:41:08	17:41:08	17:41:08			17:41:10	17:41:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
8	17:41:10	17:41:10	17:41:10	17:41:10	17:41:10	17:41:10	17:41:10	17:41:11	17:41:11	17:41:11	17:41:11	17:41:11	17:41:22	17:41:22	17:41:22	17:41:22	17:41:22	17:41:22			17:41:24	17:41:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
9	17:41:24	17:41:24	17:41:24	17:41:24	17:41:24	17:41:24	17:41:24	17:41:25	17:41:25	17:41:25	17:41:25	17:41:25	17:41:36	17:41:36	17:41:36	17:41:36	17:41:36	17:41:36			17:41:37	17:41:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
