Iteration	PT_standardBikeShare	bike	car	car_passenger	pt	sharing:standardBikeShare	standardBikeShare_PT	standardBikeShare_PT_standardBikeShare	walk
0	0.0	0.0	0.7409600145732762	0.08142818107295746	0.020949084616085252	0.0	0.0	0.0	0.15666271973768103
1	0.0	5.464978595500501E-4	0.7324892977502505	0.08142818107295746	0.026960561071135803	7.286638127334002E-4	1.8216595318335004E-4	9.108297659167502E-5	0.15757354950359778
2	0.0	5.464978595500501E-4	0.7234720830676746	0.08142818107295746	0.032425539666636305	0.0012751616722834502	5.464978595500501E-4	9.108297659167502E-5	0.16021495582475637
3	0.0	5.464978595500501E-4	0.7109937152746152	0.08142818107295746	0.036251024683486656	0.0018216595318335004	8.197467893250751E-4	9.108297659167502E-5	0.1680480918116404
4	0.0	5.464978595500501E-4	0.708807723836415	0.08142818107295746	0.03825485016850351	0.0022770744147918754	6.375808361417251E-4	0.0	0.1680480918116404
5	0.0	6.375808361417251E-4	0.7048911558429729	0.08142818107295746	0.038710265051461884	0.0030057382275252755	8.197467893250751E-4	0.0	0.17050733217961564
6	9.108297659167502E-5	6.375808361417251E-4	0.7045268239366063	0.08142818107295746	0.040805173513070406	0.0029146552509336007	7.286638127334002E-4	9.108297659167502E-5	0.1687767556243738
7	1.8216595318335004E-4	6.375808361417251E-4	0.7030694963111395	0.08142818107295746	0.04244466709172056	0.0033700701338919754	7.286638127334002E-4	9.108297659167502E-5	0.1680480918116404
8	9.108297659167502E-5	5.464978595500501E-4	0.7047089898897896	0.08142818107295746	0.04299116495127061	0.0034611531104836507	9.108297659167502E-4	9.108297659167502E-5	0.16577101739684852
9	9.108297659167502E-5	9.108297659167502E-4	0.7042535750068313	0.08142818107295746	0.042900081974678934	0.0035522360870753255	0.0010019127425084252	9.108297659167502E-5	0.16577101739684852
10	1.8216595318335004E-4	9.108297659167502E-4	0.7006102559431642	0.08142818107295746	0.04390199471718736	0.004554148829583751	0.0010929957191001002	9.108297659167502E-5	0.16722834502231532
