pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	10	0	2	0	0	0	0	0	0	0	0	0	0
education---other	29	60	37	23	10	11	9	6	2	2	3	1	7
home---education	48	61	30	10	7	8	7	3	3	2	5	1	15
home---leisure	607	256	175	68	23	18	19	8	9	6	4	2	6
home---other	202	207	184	68	60	31	20	7	14	5	6	0	19
home---pt interaction	22	37	36	20	21	22	12	15	8	2	6	5	42
home---sharing booking interaction	33	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	162	146	84	52	25	17	14	6	7	7	1	1	3
home---work	215	469	256	119	88	46	49	21	31	15	5	10	62
leisure---home	619	296	191	66	26	22	19	9	8	5	4	2	6
leisure---leisure	2	2	1	0	1	0	1	0	0	1	0	0	0
leisure---pt interaction	3	4	4	4	1	1	2	0	0	0	0	1	2
leisure---sharing booking interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	94	130	59	28	22	12	5	5	3	2	3	2	5
other---home	121	276	184	103	61	48	35	18	17	8	8	4	27
other---leisure	40	68	41	24	12	7	4	2	2	0	1	0	4
other---other	58	93	67	38	26	18	12	6	5	1	0	0	6
other---pt interaction	4	12	11	9	6	3	4	6	2	1	5	1	8
other---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	42	58	25	14	9	4	6	1	1	0	1	1	1
other---work	3	10	11	6	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	17	29	43	24	11	18	4	6	7	3	2	5	39
pt interaction---leisure	5	5	6	0	1	1	1	3	1	0	0	0	4
pt interaction---other	4	11	9	8	4	6	2	2	3	3	0	4	7
pt interaction---pt interaction	70	31	33	44	39	53	26	24	23	25	24	27	264
pt interaction---shop	5	4	6	1	0	3	0	0	1	0	0	0	0
pt interaction---work	44	55	66	19	21	5	2	4	1	6	0	2	6
sharing booking interaction---sharing pickup interaction	67	3	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	20	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	6	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	5	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	24	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	34	20	12	3	0	0	0	0	0	0	0	0	0
shop---home	141	135	66	40	20	15	12	7	5	4	1	1	3
shop---leisure	12	24	13	9	4	3	1	1	2	0	0	1	0
shop---pt interaction	3	7	1	1	4	2	0	3	1	0	0	0	3
shop---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	40	71	22	10	4	6	3	1	2	0	1	0	0
work---home	200	494	293	126	82	44	44	38	25	27	7	7	88
work---leisure	52	58	22	6	7	4	3	4	1	0	3	1	4
work---other	48	112	71	45	34	22	9	11	3	1	4	0	4
work---pt interaction	37	45	42	20	22	4	1	1	1	3	0	0	3
work---sharing booking interaction	24	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1066.2166129032257 seconds = 00:17:46
