pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	11	0	2	0	0	0	0	0	0	0	0	0	0
education---other	30	59	39	20	12	11	8	6	2	3	3	0	7
home---education	49	61	29	10	7	8	7	3	3	3	4	1	15
home---leisure	598	269	175	58	25	16	19	8	10	6	7	3	7
home---other	203	204	183	72	54	37	23	6	15	4	6	0	19
home---pt interaction	16	30	41	20	20	18	16	13	6	1	5	4	43
home---sharing booking interaction	28	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	160	151	80	41	28	18	13	7	7	7	1	1	8
home---work	237	475	258	114	82	45	50	25	34	13	4	10	62
leisure---home	614	298	184	70	31	21	18	10	8	5	7	3	7
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	3	4	0	6	3	1	1	2	0	0	0	1	2
leisure---sharing booking interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	108	126	53	27	17	11	5	6	3	2	3	2	5
other---home	123	271	193	105	68	47	34	18	16	9	8	5	26
other---leisure	35	69	42	28	12	7	3	3	3	0	1	0	4
other---other	56	95	75	38	21	18	11	8	5	1	0	0	7
other---pt interaction	2	5	14	4	3	0	4	6	3	2	5	0	4
other---sharing booking interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	38	62	28	14	9	4	7	1	1	0	1	1	1
other---work	3	11	9	6	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	13	29	23	20	11	20	2	7	5	3	3	5	36
pt interaction---leisure	2	5	4	2	2	1	2	3	1	0	0	0	4
pt interaction---other	6	7	6	12	2	5	4	2	4	2	1	3	8
pt interaction---pt interaction	64	23	31	35	32	44	26	29	33	21	21	19	244
pt interaction---shop	5	3	4	0	2	3	0	0	1	0	0	0	1
pt interaction---work	34	54	61	19	20	5	2	3	2	7	0	2	8
sharing booking interaction---sharing pickup interaction	64	8	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	13	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	26	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	4	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	3	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	2	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	20	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	29	19	20	3	0	0	0	0	0	0	0	0	0
shop---home	144	139	64	34	23	13	12	9	4	4	1	1	7
shop---leisure	15	26	10	9	3	3	0	1	2	0	0	1	0
shop---pt interaction	2	4	0	2	3	2	0	1	1	0	0	1	2
shop---sharing booking interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	39	65	31	11	4	7	2	1	2	0	1	0	0
work---home	212	501	280	134	76	47	42	32	32	26	7	7	89
work---leisure	49	61	26	6	8	4	3	4	1	0	3	1	4
work---other	54	106	71	47	31	20	11	11	2	3	4	0	4
work---pt interaction	28	42	48	17	16	5	0	1	3	5	0	0	3
work---sharing booking interaction	26	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1064.7643141395274 seconds = 00:17:44
