pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	219	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---PTSharing interaction	0	0	0	0	0	0	1	0	0	0	0	0	0
SharingPT interaction---pt interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
education---other	30	63	35	21	10	14	7	7	0	3	2	1	7
home---PTSharing interaction	0	0	1	1	2	0	1	1	4	3	1	1	61
home---education	50	60	29	12	5	10	5	4	2	4	3	3	13
home---leisure	551	202	131	42	14	14	11	5	7	6	12	2	20
home---other	175	181	148	57	52	24	21	8	18	9	12	1	50
home---pt interaction	18	32	36	19	22	18	9	8	9	5	4	6	29
home---sharing booking interaction	231	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	155	131	78	38	28	14	8	5	4	7	0	1	16
home---work	197	400	202	97	65	23	27	15	21	11	6	5	133
leisure---PTSharing interaction	0	0	0	0	0	0	1	0	0	0	1	0	13
leisure---home	539	233	131	38	18	14	10	10	4	8	9	3	19
leisure---leisure	1	2	0	0	0	0	2	0	0	1	0	0	0
leisure---pt interaction	5	5	1	4	2	1	2	2	0	1	0	1	0
leisure---sharing booking interaction	73	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	67	89	47	18	16	6	8	3	1	1	1	1	7
other---PTSharing interaction	0	0	0	0	0	0	0	0	3	2	0	1	21
other---home	104	219	151	76	42	32	22	11	15	5	9	5	46
other---leisure	34	49	32	19	9	4	6	1	1	1	1	0	11
other---other	45	70	57	19	21	10	8	4	4	0	3	0	17
other---pt interaction	2	12	11	2	4	3	1	5	3	1	4	0	3
other---sharing booking interaction	68	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	33	43	20	10	6	3	3	2	1	2	1	0	11
other---work	3	8	9	5	1	1	1	0	1	0	0	0	1
pt interaction---PTSharing interaction	54	0	5	0	0	0	0	0	0	0	0	0	0
pt interaction---home	11	20	24	8	7	13	4	6	3	0	1	3	22
pt interaction---leisure	3	2	3	4	0	2	1	1	0	0	0	0	4
pt interaction---other	4	6	9	6	6	5	2	4	3	3	1	1	5
pt interaction---pt interaction	52	25	27	44	37	35	20	28	18	18	15	20	195
pt interaction---shop	2	3	5	0	0	2	0	1	0	0	0	0	1
pt interaction---work	31	38	46	12	17	6	2	3	3	7	0	0	7
sharing booking interaction---sharing pickup interaction	179	9	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	60	4	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	16	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	21	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	11	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	69	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	54	53	29	16	21	3	0	3	0	0	0	2	7
sharing pickup interaction---sharing pickup interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
shop---PTSharing interaction	0	0	0	1	0	1	1	0	1	0	1	0	2
shop---home	130	122	58	29	22	6	8	6	2	5	1	2	13
shop---leisure	13	21	13	8	1	3	0	1	1	1	1	1	2
shop---pt interaction	1	4	2	2	1	1	1	3	1	0	0	1	2
shop---sharing booking interaction	20	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	28	48	22	10	6	5	2	0	3	0	0	0	5
work---PTSharing interaction	0	0	0	0	1	2	1	1	1	1	2	0	26
work---home	169	406	230	91	63	39	18	27	10	13	4	7	107
work---leisure	39	40	15	3	6	7	3	2	4	0	1	0	7
work---other	34	66	49	26	22	8	4	3	0	3	6	0	24
work---pt interaction	24	33	36	14	12	3	0	0	1	5	0	0	3
work---sharing booking interaction	112	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1534.62723485506 seconds = 00:25:34
