pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	9	0	3	0	0	0	0	0	0	0	0	0	0
education---other	29	61	35	23	11	11	8	7	2	2	3	1	7
home---education	47	62	30	10	7	8	7	3	3	2	5	1	15
home---leisure	621	253	171	70	23	17	18	9	8	6	4	2	6
home---other	201	212	174	67	63	34	24	7	15	5	6	0	18
home---pt interaction	21	40	42	19	18	23	11	17	10	2	5	5	41
home---sharing booking interaction	23	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	160	150	82	46	27	23	10	7	7	6	2	1	3
home---work	215	467	266	114	86	44	45	22	31	15	5	10	62
leisure---home	616	298	189	73	26	21	20	8	9	5	4	2	6
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	6	6	3	4	1	0	0	1	0	1	0	1	1
leisure---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	97	127	57	32	20	13	6	5	3	3	3	2	5
other---home	125	268	191	106	64	48	36	17	17	8	8	4	27
other---leisure	36	67	44	22	12	8	3	1	2	0	1	0	4
other---other	55	98	69	35	28	18	12	6	5	1	0	0	8
other---pt interaction	4	15	12	9	4	2	3	5	4	0	5	2	6
other---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	39	54	30	14	12	5	6	1	1	0	1	1	1
other---work	3	10	11	5	1	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	14	29	36	23	13	10	7	4	6	3	3	5	37
pt interaction---leisure	3	4	5	1	1	2	3	3	1	0	0	0	2
pt interaction---other	6	8	9	9	1	3	4	3	4	3	0	3	5
pt interaction---pt interaction	67	33	27	36	38	45	26	28	26	34	27	24	254
pt interaction---shop	5	4	6	0	0	3	0	0	1	0	0	0	1
pt interaction---work	46	60	71	18	22	4	2	6	2	4	0	3	6
sharing booking interaction---sharing pickup interaction	50	6	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	15	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	5	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	4	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	2	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	14	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	26	23	7	0	0	0	0	0	0	0	0	0	0
shop---home	138	140	66	39	22	16	11	8	5	3	2	1	3
shop---leisure	15	26	10	9	3	4	1	1	2	0	0	1	0
shop---pt interaction	5	4	2	1	2	1	0	2	0	0	0	0	3
shop---work	48	63	23	11	5	7	3	1	2	1	1	0	0
work---home	204	497	282	138	81	48	39	41	26	27	7	7	88
work---leisure	51	59	22	11	5	5	4	4	1	0	3	1	4
work---other	50	111	70	48	35	22	8	11	3	1	4	0	5
work---pt interaction	29	41	46	19	16	3	1	1	0	6	0	0	3
work---sharing booking interaction	25	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1066.3774791548612 seconds = 00:17:46
