pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	9	0	3	0	0	0	0	0	0	0	0	0	0
education---other	29	60	37	23	10	11	9	6	2	2	3	1	7
home---education	48	61	30	10	7	8	7	3	3	2	5	1	15
home---leisure	615	254	177	66	23	18	18	8	9	6	4	2	6
home---other	205	204	182	66	59	35	23	7	14	5	6	0	18
home---pt interaction	21	34	43	21	22	22	12	19	8	3	6	5	40
home---sharing booking interaction	29	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	164	141	89	48	27	19	12	7	6	6	2	1	3
home---work	215	467	258	115	84	44	45	22	31	17	5	10	62
leisure---home	628	289	193	66	24	23	19	9	8	5	4	2	6
leisure---leisure	2	2	1	0	1	0	1	0	0	1	0	0	0
leisure---pt interaction	3	5	5	5	1	1	2	0	0	0	0	1	3
leisure---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	94	130	56	29	20	13	4	5	3	2	3	2	5
other---home	118	270	189	104	64	48	35	17	17	8	8	4	27
other---leisure	40	65	43	23	11	8	3	2	2	0	1	0	4
other---other	56	96	68	37	27	17	14	6	5	1	0	0	8
other---pt interaction	5	12	11	9	4	3	3	5	2	1	4	1	8
other---sharing booking interaction	8	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	40	58	27	17	10	4	6	1	1	0	1	1	1
other---work	3	11	10	5	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	4	0	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	15	27	40	22	11	16	5	5	6	4	2	5	38
pt interaction---leisure	4	4	5	1	1	1	1	2	1	0	0	0	3
pt interaction---other	4	11	7	11	6	5	3	2	3	1	0	3	7
pt interaction---pt interaction	65	34	23	43	41	47	28	21	24	32	27	25	264
pt interaction---shop	4	2	4	1	0	4	0	0	1	0	0	0	0
pt interaction---work	51	58	68	20	24	6	2	6	2	6	0	2	6
sharing booking interaction---sharing pickup interaction	64	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	19	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	4	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	6	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	21	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	31	19	13	2	0	0	0	0	0	0	0	0	0
shop---home	140	140	66	37	20	16	11	8	4	3	2	1	3
shop---leisure	12	26	13	8	4	4	0	1	2	0	0	1	0
shop---pt interaction	3	8	1	2	3	1	0	3	0	0	0	0	3
shop---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	44	67	22	11	4	6	3	1	2	0	1	0	0
work---home	205	494	290	131	82	45	44	39	27	25	7	7	88
work---leisure	52	60	21	9	6	5	3	4	1	0	3	1	4
work---other	49	111	68	43	33	22	8	11	3	1	4	0	5
work---pt interaction	34	43	40	22	18	4	1	1	0	5	0	0	3
work---sharing booking interaction	27	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1067.839916000323 seconds = 00:17:47
