pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	10	0	3	0	0	0	0	0	0	0	0	0	0
education---other	30	59	37	23	10	11	9	6	2	2	3	1	7
home---education	48	61	30	10	7	8	7	3	3	2	5	1	15
home---leisure	612	255	174	66	24	18	18	8	9	5	5	2	6
home---other	203	208	181	69	56	32	22	7	14	5	6	0	19
home---pt interaction	21	37	42	22	23	23	13	19	8	3	6	5	41
home---sharing booking interaction	32	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	163	144	86	49	26	18	13	6	7	6	2	1	3
home---work	212	467	253	119	85	43	48	20	33	14	5	10	62
leisure---home	624	295	193	65	25	22	19	9	8	5	4	2	6
leisure---leisure	2	2	1	0	1	0	1	0	0	1	0	0	0
leisure---pt interaction	4	4	4	4	1	1	2	0	0	0	0	1	3
leisure---sharing booking interaction	8	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	95	127	58	29	22	12	4	5	3	2	3	2	5
other---home	116	277	187	105	62	47	35	17	17	8	8	4	27
other---leisure	39	66	42	23	12	7	4	2	2	0	1	0	4
other---other	58	93	69	38	26	18	12	6	5	1	0	0	6
other---pt interaction	5	12	11	9	5	4	4	6	2	1	5	1	7
other---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	39	58	28	15	10	4	6	1	1	0	1	1	1
other---work	3	11	10	6	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	4	0	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	17	24	39	20	11	18	4	6	6	4	2	5	40
pt interaction---leisure	5	4	8	1	1	1	1	3	1	0	0	0	3
pt interaction---other	4	12	9	10	5	5	2	2	3	1	0	3	7
pt interaction---pt interaction	67	30	25	43	41	53	27	21	26	30	27	27	267
pt interaction---shop	5	3	6	1	0	4	0	0	1	0	0	0	0
pt interaction---work	46	56	73	21	24	6	2	6	1	6	0	2	7
sharing booking interaction---sharing pickup interaction	65	3	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	13	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	16	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	6	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	6	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	23	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	32	21	11	2	0	0	0	0	0	0	0	0	0
shop---home	143	134	66	41	20	15	12	7	5	3	2	1	3
shop---leisure	12	25	12	9	4	4	1	1	2	0	0	1	0
shop---pt interaction	2	8	1	1	4	1	0	3	0	0	0	0	3
shop---sharing booking interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	41	66	23	12	4	6	3	1	2	0	1	0	0
work---home	206	493	289	131	85	42	44	37	25	28	7	7	88
work---leisure	50	59	21	10	6	5	3	4	1	0	3	1	4
work---other	47	112	72	44	33	22	9	11	3	1	4	0	5
work---pt interaction	35	44	39	20	18	4	1	1	1	5	0	0	2
work---sharing booking interaction	24	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1071.416901862753 seconds = 00:17:51
