pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	209	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---PTSharing interaction	0	0	0	0	0	0	0	0	0	0	0	0	1
SharingPT interaction---pt interaction	7	0	3	0	0	0	0	0	0	0	0	0	0
education---other	31	62	33	23	11	12	8	6	1	3	2	1	7
home---PTSharing interaction	0	0	0	0	2	1	2	1	2	3	4	2	53
home---education	48	62	29	11	6	10	6	3	3	2	4	3	13
home---leisure	542	220	142	42	20	12	11	6	5	7	11	0	20
home---other	174	182	148	64	50	28	16	1	16	8	8	0	56
home---pt interaction	17	38	28	20	19	23	9	12	9	2	2	4	35
home---sharing booking interaction	219	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	146	132	81	37	26	14	7	3	4	8	0	2	17
home---work	193	417	215	86	54	28	24	15	20	11	4	4	147
leisure---PTSharing interaction	0	0	0	0	0	0	1	0	1	0	1	0	11
leisure---home	539	230	125	42	18	13	13	9	10	7	8	0	25
leisure---leisure	1	1	1	0	0	0	1	0	0	0	0	0	1
leisure---pt interaction	1	5	2	4	0	2	1	2	0	1	0	0	4
leisure---sharing booking interaction	92	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	72	84	43	18	12	4	4	2	4	1	2	3	15
other---PTSharing interaction	0	0	0	0	1	0	1	1	4	0	0	1	20
other---home	105	214	148	78	44	29	28	7	12	9	5	5	45
other---leisure	36	43	36	20	9	3	6	0	1	3	0	1	11
other---other	45	71	47	24	13	6	5	4	7	1	1	1	11
other---pt interaction	5	10	5	4	3	2	3	2	2	2	4	2	7
other---sharing booking interaction	62	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	26	44	25	13	7	2	4	1	2	1	3	0	2
other---work	3	7	7	4	1	1	1	0	0	0	0	0	2
pt interaction---PTSharing interaction	49	1	6	0	0	0	0	0	0	0	0	0	0
pt interaction---home	7	17	24	12	10	9	5	6	4	1	2	5	20
pt interaction---leisure	2	6	4	4	0	1	3	1	0	0	0	0	1
pt interaction---other	4	4	7	6	3	8	2	1	2	2	1	2	6
pt interaction---pt interaction	53	25	36	40	33	31	26	27	20	16	22	17	184
pt interaction---shop	2	1	4	0	1	3	0	0	1	1	0	0	0
pt interaction---work	38	42	50	12	19	3	2	4	1	4	0	2	2
sharing booking interaction---sharing pickup interaction	157	11	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	11	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	54	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	19	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	14	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	6	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	61	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	44	49	22	24	12	1	1	5	1	0	1	1	6
shop---PTSharing interaction	0	0	0	0	0	0	0	0	2	0	0	1	4
shop---home	127	123	59	32	20	7	10	5	3	2	1	2	10
shop---leisure	14	20	12	9	2	4	0	1	0	0	0	1	3
shop---pt interaction	2	2	4	1	1	0	1	1	1	0	0	1	1
shop---sharing booking interaction	20	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	26	50	18	8	4	3	2	0	0	1	2	0	4
work---PTSharing interaction	0	0	0	0	0	1	0	3	0	2	3	0	24
work---home	175	420	211	93	66	25	27	20	13	14	10	5	132
work---leisure	36	42	17	3	5	3	2	3	1	0	1	0	6
work---other	34	68	43	29	22	9	6	3	3	2	7	0	21
work---pt interaction	29	30	32	9	17	0	0	0	0	9	0	0	1
work---sharing booking interaction	104	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1547.3610965142757 seconds = 00:25:47
