Iteration	PT_standardBikeShare	PT_standardeScooter	bike	car	car_passenger	pt	sharing:standardBikeShare	sharing:standardeScooter	standardBikeShare_PT	standardBikeShare_PT_standardBikeShare	standardeScooter_PT	standardeScooter_PT_standardeScooter	walk
20	1.8216595318335004E-4	0.023863739867018854	2.7324892977502506E-4	0.5485016850350669	0.08142818107295746	0.03524911194097823	0.09654795518717552	0.04681664996812096	0.0012751616722834502	0.0	0.0017305765552418253	0.0010019127425084252	0.16312961107568996
21	9.108297659167502E-5	0.024045905820202204	5.464978595500501E-4	0.5488660169414337	0.08142818107295746	0.036615356589853355	0.09363329993624192	0.047636396757446034	0.0012751616722834502	0.0	0.0018216595318335004	0.0012751616722834502	0.16276527916932326
22	9.108297659167502E-5	0.024228071773385554	3.643319063667001E-4	0.5537844976773841	0.08142818107295746	0.03743510337917843	0.09090081063849166	0.046725566991529285	0.0010929957191001002	0.0	0.0016394935786501503	0.001184078695691775	0.16112578559067312
23	9.108297659167502E-5	0.024865652609527278	1.8216595318335004E-4	0.5482284361052919	0.08142818107295746	0.03670643956644503	0.09117405956826669	0.05064213498497131	0.0010929957191001002	0.0	0.0015484106020584752	9.108297659167502E-4	0.16312961107568996
24	3.643319063667001E-4	0.024045905820202204	1.8216595318335004E-4	0.5472265233627835	0.08142818107295746	0.03615994170689498	0.09509062756170872	0.04845614354677111	9.108297659167502E-4	0.0	0.0015484106020584752	0.001184078695691775	0.16340286000546497
25	2.7324892977502506E-4	0.023317242007468805	1.8216595318335004E-4	0.5505055105200838	0.08142818107295746	0.03579560980052828	0.09472629565534202	0.04818289461699608	6.375808361417251E-4	0.0	0.0017305765552418253	7.286638127334002E-4	0.16249203023954822
26	2.7324892977502506E-4	0.02359049093724383	1.8216595318335004E-4	0.5476819382457419	0.08142818107295746	0.03470261408142818	0.09846069769560069	0.045905820202204205	7.286638127334002E-4	0.0	0.0016394935786501503	7.286638127334002E-4	0.16467802167774842
27	2.7324892977502506E-4	0.024045905820202204	1.8216595318335004E-4	0.5452226978777667	0.08142818107295746	0.034520448128244834	0.09827853174241734	0.04599690317879588	8.197467893250751E-4	0.0	0.0021859914382002005	6.375808361417251E-4	0.16640859823299026
28	2.7324892977502506E-4	0.024045905820202204	3.643319063667001E-4	0.5464978595500501	0.08142818107295746	0.036433190636670006	0.09663903816376719	0.046361235085162586	6.375808361417251E-4	0.0	0.002094908461608525	9.108297659167502E-4	0.16431368977138172
29	2.7324892977502506E-4	0.023863739867018854	4.554148829583751E-4	0.5472265233627835	0.08142818107295746	0.03543127789416158	0.09928044448492576	0.045359322342654156	6.375808361417251E-4	9.108297659167502E-5	0.0018216595318335004	9.108297659167502E-4	0.16322069405228162
30	2.7324892977502506E-4	0.024410237726568904	4.554148829583751E-4	0.5485927680116586	0.08142818107295746	0.03515802896438656	0.09873394662537571	0.04408416067037071	8.197467893250751E-4	9.108297659167502E-5	0.0015484106020584752	8.197467893250751E-4	0.16358502595864832
31	2.7324892977502506E-4	0.024592403679752253	5.464978595500501E-4	0.5446762000182166	0.08142818107295746	0.03597777575371163	0.09982694234447581	0.04362874578741233	8.197467893250751E-4	9.108297659167502E-5	0.0019127425084251753	5.464978595500501E-4	0.16567993442025686
