Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
15	18:00:37	18:00:37	18:00:37	18:00:37	18:00:38	18:00:38	18:00:38	18:00:38	18:00:38	18:00:38	18:00:39	18:00:39	18:00:50	18:00:50	18:00:50	18:00:50	18:00:50	18:00:50			18:00:52	18:00:52		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
16	18:00:52	18:00:52	18:00:52	18:00:52	18:00:52	18:00:52	18:00:52	18:00:53	18:00:53	18:00:53	18:00:53	18:00:53	18:01:04	18:01:04	18:01:04	18:01:04	18:01:04	18:01:04			18:01:05	18:01:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
17	18:01:06	18:01:06	18:01:06	18:01:06	18:01:06	18:01:06	18:01:06	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:18	18:01:18	18:01:18	18:01:18	18:01:18	18:01:18			18:01:19	18:01:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
18	18:01:19	18:01:19	18:01:19	18:01:19	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20	18:01:31	18:01:31	18:01:31	18:01:31	18:01:31	18:01:31			18:01:32	18:01:32		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
19	18:01:32	18:01:32	18:01:32	18:01:32	18:01:33	18:01:33	18:01:33	18:01:33	18:01:33	18:01:33	18:01:33	18:01:33	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44			18:01:45	18:01:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
20	18:01:45	18:01:45	18:01:45	18:01:45	18:01:46	18:01:46	18:01:46	18:01:46	18:01:46	18:01:46	18:01:46	18:01:46	18:01:57	18:01:57	18:01:57	18:01:57	18:01:57	18:01:57	18:01:57	18:01:57	18:02:01	18:02:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:04	00:00:15
21	18:02:01	18:02:01	18:02:01	18:02:01	18:02:02	18:02:02	18:02:02	18:02:02	18:02:02	18:02:02	18:02:02	18:02:02	18:02:13	18:02:13	18:02:13	18:02:13	18:02:13	18:02:13			18:02:14	18:02:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
22	18:02:14	18:02:14	18:02:14	18:02:14	18:02:14	18:02:14	18:02:14	18:02:15	18:02:15	18:02:15	18:02:15	18:02:15	18:02:25	18:02:25	18:02:25	18:02:25	18:02:25	18:02:25			18:02:26	18:02:26		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
23	18:02:26	18:02:26	18:02:26	18:02:26	18:02:27	18:02:27	18:02:27	18:02:28	18:02:28	18:02:28	18:02:28	18:02:28	18:02:40	18:02:40	18:02:40	18:02:40	18:02:40	18:02:40			18:02:42	18:02:42		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:15
24	18:02:42	18:02:42	18:02:42	18:02:42	18:02:43	18:02:43	18:02:43	18:02:44	18:02:44	18:02:44	18:02:44	18:02:44	18:02:56	18:02:56	18:02:56	18:02:56	18:02:56	18:02:56			18:02:57	18:02:57		00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:15
25	18:02:58	18:02:58	18:02:58	18:02:58	18:02:58	18:02:58	18:02:58	18:02:59	18:02:59	18:02:59	18:02:59	18:02:59	18:03:11	18:03:11	18:03:11	18:03:11	18:03:11	18:03:11			18:03:12	18:03:12		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
