ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	7463.293610913379	7521.163222165486	
1	6848.4610200782945	7196.608422450528	
2	6467.044527807857	6985.493327568435	
3	6243.634965263926	6887.823532777898	
4	5987.891700594596	6729.4436272796465	
5	5827.3500091376745	6617.338137016149	
6	5697.665413819778	6522.7931020145925	
7	5562.419669315831	6400.8564665001195	
8	5533.123322958223	6409.307534831598	
9	5456.802032422278	6352.9005983963025	
10	5395.927981951314	6292.074954736161	
11	5425.025678748479	6280.709941465995	
12	5394.521830162671	6218.184602104124	
13	5351.05013321064	6193.86625329433	
14	5298.158736556139	6185.832770351648	
15	5341.420327696524	6268.167722187485	
16	5354.573190475585	6278.040183812515	
17	5353.806245795769	6270.7234305530155	
18	5341.458474600295	6257.2439825942765	
19	5317.657672484769	6250.872435967206	
20	5295.585284016105	6200.5398322379915	
21	5267.000505253881	6177.120373814083	
22	5270.473344543314	6160.64343664937	
23	5249.350208730958	6154.166706713001	
24	5209.777447224834	6097.565476769751	
25	5246.664753140137	6130.851956930603	
26	5221.941354169594	6099.54319463393	
27	5223.234807219871	6077.2650573597775	
28	5255.5690688020495	6139.827024195856	
29	5271.931585875564	6172.993434440146	
30	5264.8839871607515	6186.39908405501	
31	5289.581152510626	6217.134961438303	
32	5284.344934905918	6220.020047562921	
33	5274.464203322713	6235.882804405341	
34	5258.740817831795	6232.0410245208595	
35	5270.904466774719	6245.411215979273	
36	5285.031032562265	6278.0941006489265	
37	5310.269292770757	6303.79758161698	
38	5313.894926410722	6289.167476626888	
39	5298.557663964683	6259.144729845295	
40	5290.658172833229	6244.231985699401	
41	5325.065872901425	6298.716241528988	
42	5285.7638578042315	6274.9698578110865	
43	5262.047828619443	6236.003646496118	
44	5237.885442986848	6182.078433259773	
45	5248.618006257395	6239.931860755539	
46	5248.618006257395	6239.931860755539	
47	5248.618006257395	6239.931860755539	
48	5248.618006257395	6239.931860755539	
49	5248.618006257395	6239.931860755539	
50	5248.618006257395	6239.931860755539	
