ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1.5367488931056288	-1.5367488931056288	-1.5367488931056288	-1.5367488931056288
1	-21.892419442687466	-21.912432883547684	-11.714584782837852	-1.5167366821280477
2	-35.09419627169869	-36.625145653243436	-28.561701103380436	-20.498256553517464
3	-43.93666306486745	-47.50215861972024	-39.65186441422453	-31.801570208728698
4	-49.74051338815087	-54.4166543678402	-46.56638823002314	-38.71612209220606
5	-54.54305344718523	-60.43640066062256	-52.48237327816418	-44.52834589570586
6	-58.65603029025213	-64.69665963876572	-56.872984046665124	-49.04930845456455
7	-63.985650080820754	-70.84549898095419	-61.591821675802834	-52.33814437065142
8	-67.68188198397621	-73.0359168775035	-65.42873308911355	-57.82154930072377
9	-72.90073907161424	-78.24852326235144	-70.42473166596375	-62.6009400695762
10	-74.2637073055028	-81.6735471572141	-73.58126563707908	-65.48898411694425
11	-74.15589227985095	-83.18514872794987	-74.1430651310703	-65.10098153419081
12	-75.67626651556667	-82.66353881158183	-75.05227405299036	-67.44100929439867
13	-75.68779279991553	-82.82456172253829	-75.54594481340906	-68.26732790427987
14	-75.8285569084264	-83.90729241338094	-75.68950211715503	-67.47171182092903
15	-78.25950049195299	-85.9504573406422	-77.04249411413305	-68.13453088762382
16	-76.07594173870258	-85.11979733291156	-77.16842311476545	-69.21704889661954
17	-76.0704597125588	-84.58356560545359	-75.73299862955933	-66.88243165366504
18	-79.63201235153544	-86.21615178508678	-77.98915366505017	-69.76215554501358
19	-78.14745203457713	-86.50243797877565	-78.89143962154752	-71.28044126431926
20	-79.9109253988332	-87.72679255393906	-79.09500918019525	-70.46322580645145
21	-79.20604206198584	-87.1552390364747	-79.28730796261144	-71.41937688874813
22	-80.00225481411184	-88.2334376976596	-80.08045505657444	-71.92747241548933
23	-82.74985039356227	-90.69008134795125	-81.7854218058189	-72.88076226368663
24	-80.4599942898304	-90.71608712839956	-81.73816281889087	-72.76023850938208
25	-80.87254041042908	-88.13725191510272	-81.20976566343357	-74.28227941176439
26	-79.51356384847824	-88.54925671164499	-80.19234586935112	-71.83543502705717
27	-79.22554413521668	-87.73187328694891	-79.03058472134359	-70.32929615573818
28	-80.73722406704607	-89.36401644528762	-80.1178595210484	-70.87170259680934
29	-79.25590167966818	-87.3322849462364	-79.7226408654858	-72.11299678473536
30	-78.01785710520764	-85.97192441492719	-78.36851236910522	-70.76510032328346
31	-79.52310448731447	-86.79261771733783	-79.04316721132886	-71.29371670532004
32	-82.55024975402344	-88.84747382106974	-81.10289417738419	-73.35831453369872
33	-82.70170488087706	-91.60306899641601	-82.62964864888599	-73.65622830135638
34	-82.93186213015665	-90.76491926698995	-82.81405659217086	-74.86319391735185
35	-81.02828018483372	-89.24882677981594	-81.91225108053956	-74.57567538126357
36	-82.38595561880645	-89.50700980392168	-81.70364796366562	-73.90028612340978
37	-82.66347828378649	-91.01456251317751	-83.13756505200632	-75.26056759083549
38	-79.77318451753459	-88.15566712348041	-80.47107280905185	-72.78647849462358
39	-79.90093005481751	-86.4978745871107	-80.17718862007156	-73.85650265303242
40	-80.73491944268736	-87.99927630191861	-80.31873559280324	-72.63819488368816
41	-79.2439857860706	-86.91032214140121	-80.05721734661604	-73.20411255183069
42	-81.16150142314977	-88.96930573125293	-80.4076445990581	-71.84598346686327
43	-82.7884506992761	-91.2803826691967	-82.04029613816847	-72.80020960714023
44	-83.362492620704	-91.16042184974336	-83.14570221905954	-75.13098258837569
45	-81.7069905650431	-90.07359600112426	-82.2619598179772	-74.45032363483007
46	-81.7069905650431	-81.7069905650431	-81.7069905650431	-81.7069905650431
47	-81.7069905650431	-81.7069905650431	-81.7069905650431	-81.7069905650431
48	-81.7069905650431	-81.7069905650431	-81.7069905650431	-81.7069905650431
49	-81.7069905650431	-81.7069905650431	-81.7069905650431	-81.7069905650431
50	-81.7069905650431	-81.7069905650431	-81.7069905650431	-81.7069905650431
