pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	202	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	2
SharingPT interaction---pt interaction	6	0	1	0	0	0	0	0	0	0	0	0	0
education---other	31	61	36	21	11	12	8	4	3	3	3	0	7
home---PTSharing interaction	0	0	0	1	1	1	1	2	4	6	2	2	61
home---education	49	60	30	11	6	10	6	2	3	2	5	2	14
home---leisure	551	205	124	42	20	14	12	10	6	15	6	2	21
home---other	184	181	138	57	46	23	16	3	18	10	18	1	44
home---pt interaction	20	37	30	16	17	20	11	13	7	0	5	4	23
home---sharing booking interaction	207	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	152	133	74	42	21	14	8	5	4	6	1	0	28
home---work	201	405	212	110	63	27	25	21	21	8	5	8	134
leisure---PTSharing interaction	0	0	0	0	0	2	0	1	2	1	0	0	11
leisure---home	543	227	137	44	20	13	10	8	4	10	7	2	22
leisure---leisure	1	2	1	0	0	0	1	0	1	1	0	0	0
leisure---pt interaction	1	3	5	4	1	0	0	0	0	1	0	0	1
leisure---sharing booking interaction	64	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	84	94	38	26	14	5	4	1	1	3	2	1	12
other---PTSharing interaction	0	0	0	0	0	1	1	1	3	2	0	2	13
other---home	116	228	145	72	45	31	20	10	14	11	8	6	36
other---leisure	33	51	38	21	7	3	6	1	1	0	2	1	13
other---other	39	65	52	22	12	8	6	4	3	1	2	1	18
other---pt interaction	3	12	8	5	1	1	0	1	3	2	5	1	6
other---sharing booking interaction	61	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	33	39	21	13	5	5	4	0	2	2	1	1	5
other---work	2	8	8	5	0	1	1	0	1	0	0	0	2
pt interaction---PTSharing interaction	42	0	6	0	0	0	0	0	0	0	0	0	0
pt interaction---home	11	19	11	10	13	14	5	5	7	2	2	5	17
pt interaction---leisure	4	2	7	1	0	3	2	1	1	0	0	0	1
pt interaction---other	4	8	5	7	3	5	3	0	6	4	0	2	6
pt interaction---pt interaction	44	27	29	37	28	39	20	21	17	14	18	19	178
pt interaction---shop	4	1	2	0	2	1	0	0	1	0	0	0	0
pt interaction---work	27	42	46	11	11	3	2	3	2	6	0	3	4
sharing booking interaction---sharing pickup interaction	150	9	0	0	0	1	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	54	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	18	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	20	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	47	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	55	40	33	16	6	2	0	1	0	0	0	0	5
sharing pickup interaction---sharing pickup interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
shop---PTSharing interaction	0	0	0	0	0	0	0	0	0	0	0	1	2
shop---home	135	117	54	30	21	9	9	6	5	4	2	1	16
shop---leisure	12	24	14	7	4	3	0	2	1	0	0	1	0
shop---pt interaction	2	2	0	1	3	1	0	2	1	0	0	0	2
shop---sharing booking interaction	21	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	29	53	18	6	3	5	2	1	2	0	2	0	3
work---PTSharing interaction	0	0	0	0	0	1	0	1	0	1	1	1	25
work---home	179	426	204	95	59	31	25	26	15	10	6	7	130
work---leisure	34	40	17	3	6	2	1	3	1	1	3	0	6
work---other	34	79	43	34	24	10	7	5	2	2	3	0	17
work---pt interaction	33	30	35	8	14	2	0	0	2	4	0	0	1
work---sharing booking interaction	104	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1542.160472080324 seconds = 00:25:42
