pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	217	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---PTSharing interaction	0	0	0	0	0	0	0	0	0	0	0	0	1
SharingPT interaction---pt interaction	6	0	2	0	0	0	0	0	0	0	0	0	0
education---other	31	62	35	20	12	12	8	6	1	3	2	1	7
home---PTSharing interaction	0	0	0	0	3	1	2	1	4	1	2	2	59
home---education	48	62	29	11	6	10	6	3	3	2	4	3	13
home---leisure	543	216	143	46	20	14	12	4	5	8	8	0	22
home---other	175	178	151	67	50	23	18	5	15	9	6	1	50
home---pt interaction	18	36	39	20	17	22	9	13	10	1	4	4	35
home---sharing booking interaction	221	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	150	127	81	38	26	15	8	2	3	6	1	2	18
home---work	205	407	198	90	55	28	27	18	23	10	5	5	138
leisure---PTSharing interaction	0	0	0	0	0	0	1	0	2	0	1	0	9
leisure---home	531	229	144	47	20	11	13	9	9	5	10	2	20
leisure---leisure	1	1	1	0	0	0	1	0	0	0	0	0	1
leisure---pt interaction	0	4	2	2	0	2	1	2	0	1	0	0	4
leisure---sharing booking interaction	88	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	71	85	44	17	12	7	3	3	3	2	2	3	15
other---PTSharing interaction	0	0	0	0	1	0	0	1	3	0	0	1	12
other---home	105	220	148	75	40	31	25	13	12	8	7	5	44
other---leisure	37	47	39	18	9	5	5	1	0	2	0	1	15
other---other	44	70	45	20	13	7	6	5	6	0	1	0	15
other---pt interaction	4	10	9	5	6	2	2	3	1	1	6	1	4
other---sharing booking interaction	71	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	26	42	25	8	6	2	5	1	3	1	1	0	4
other---work	2	6	8	4	1	1	1	0	0	0	1	0	0
pt interaction---PTSharing interaction	59	1	8	0	0	0	0	0	0	0	0	0	0
pt interaction---home	9	19	21	13	7	11	4	7	2	1	1	5	21
pt interaction---leisure	2	5	3	4	0	1	3	3	0	0	0	0	2
pt interaction---other	5	4	6	7	3	8	1	3	1	1	1	2	4
pt interaction---pt interaction	51	29	39	34	33	34	24	25	15	22	22	18	190
pt interaction---shop	2	2	3	0	0	3	0	0	1	0	0	0	0
pt interaction---work	32	44	53	11	18	4	2	3	1	4	0	3	4
sharing booking interaction---sharing pickup interaction	156	8	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	50	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	14	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	19	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	6	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	61	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	47	45	24	24	7	2	3	3	1	0	1	2	5
sharing pickup interaction---sharing pickup interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---PTSharing interaction	0	0	0	0	1	0	1	0	1	0	0	1	2
shop---home	131	123	55	30	21	8	9	6	2	1	1	2	13
shop---leisure	13	21	13	8	2	4	0	1	0	0	1	1	2
shop---pt interaction	2	1	2	0	2	0	1	1	0	0	0	1	1
shop---sharing booking interaction	21	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	23	44	23	7	7	2	2	0	0	0	1	0	4
work---PTSharing interaction	0	0	0	0	0	1	0	3	0	1	4	0	27
work---home	176	427	206	94	60	29	26	22	9	12	9	4	123
work---leisure	32	43	16	2	5	3	2	1	1	0	1	0	8
work---other	33	70	43	30	24	12	6	4	3	2	6	0	20
work---pt interaction	27	33	33	10	17	2	0	0	0	6	0	0	2
work---sharing booking interaction	97	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1546.9275273522976 seconds = 00:25:46
