pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	10	0	2	0	0	0	0	0	0	0	0	0	0
education---other	30	59	37	23	11	11	8	6	2	3	3	0	7
home---education	50	60	28	11	7	9	6	3	3	2	5	1	15
home---leisure	600	258	175	60	22	15	20	10	10	8	13	4	9
home---other	203	206	181	69	56	35	22	6	16	4	6	0	18
home---pt interaction	18	26	39	16	18	16	17	14	5	2	4	4	40
home---sharing booking interaction	28	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	166	147	84	38	28	17	11	8	6	6	2	1	9
home---work	240	471	257	116	88	43	48	23	34	19	6	10	67
leisure---home	611	311	173	65	29	23	20	10	9	8	12	4	9
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	2	2	1	5	3	1	1	2	0	0	0	1	2
leisure---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	101	130	57	29	18	11	4	6	3	2	3	2	5
other---home	125	275	190	103	68	48	35	19	15	9	8	5	26
other---leisure	38	67	44	27	10	7	3	3	2	0	1	0	4
other---other	57	96	72	38	20	16	12	8	5	1	0	0	8
other---pt interaction	6	6	7	3	3	0	6	3	3	1	5	0	6
other---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	37	63	29	17	9	4	7	1	1	0	1	1	1
other---work	3	11	10	5	2	0	2	0	1	0	0	0	2
pt interaction---PTSharing interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	8	23	32	18	10	10	3	6	7	3	2	5	35
pt interaction---leisure	2	6	3	3	2	1	1	2	1	0	0	0	2
pt interaction---other	5	9	12	11	1	6	3	1	4	2	1	3	6
pt interaction---pt interaction	60	27	24	31	28	42	26	27	22	21	19	22	229
pt interaction---shop	2	3	3	0	2	3	0	1	1	1	0	0	1
pt interaction---work	30	52	54	14	22	4	2	4	0	5	0	2	8
sharing booking interaction---sharing pickup interaction	46	7	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	13	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	6	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	6	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	13	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	24	13	14	2	0	0	0	0	0	0	0	0	0
shop---home	142	143	64	35	20	13	12	8	5	3	2	1	8
shop---leisure	14	25	12	9	3	3	0	1	2	0	0	1	0
shop---pt interaction	1	3	1	1	3	1	0	1	1	0	0	1	0
shop---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	40	70	29	10	4	7	3	1	2	1	2	0	0
work---home	227	492	277	135	80	48	45	31	28	31	7	8	91
work---leisure	48	60	26	6	9	4	4	4	1	0	3	1	4
work---other	55	110	67	47	28	23	10	11	2	3	4	0	4
work---pt interaction	23	35	46	18	18	6	0	0	0	6	0	0	3
work---sharing booking interaction	20	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1062.2413736444298 seconds = 00:17:42
