pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	6	0	1	0	0	0	0	0	0	0	0	0	0
education---other	30	61	35	24	11	11	7	6	2	3	3	0	7
home---education	53	58	27	12	6	9	6	3	3	2	5	2	14
home---leisure	596	260	156	59	20	19	21	10	13	16	22	7	12
home---other	208	210	174	70	56	39	22	6	16	5	7	0	18
home---pt interaction	13	24	23	17	11	18	14	14	6	3	5	2	33
home---sharing booking interaction	15	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	168	140	81	40	26	18	11	8	7	5	4	1	15
home---work	243	476	263	121	93	44	49	23	35	20	9	10	73
leisure---home	606	298	167	66	26	25	21	11	11	16	21	7	12
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	1	2	3	2	3	1	0	2	0	1	0	1	2
leisure---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	109	123	55	31	20	11	4	6	3	2	3	2	5
other---home	129	275	195	95	67	48	37	19	16	8	8	5	26
other---leisure	42	66	41	28	12	7	4	1	2	0	1	0	4
other---other	60	98	69	37	22	17	12	8	5	1	0	0	7
other---pt interaction	5	11	8	2	4	2	4	1	3	0	5	1	3
other---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	45	52	27	18	10	4	7	1	1	0	1	1	1
other---work	2	10	11	6	2	0	2	0	1	0	0	0	2
pt interaction---PTSharing interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	7	25	21	19	11	11	4	7	4	2	2	5	28
pt interaction---leisure	3	2	2	1	2	0	2	3	0	0	0	0	1
pt interaction---other	2	10	9	8	2	6	2	2	4	2	0	3	6
pt interaction---pt interaction	49	17	23	27	20	34	22	25	22	23	14	18	202
pt interaction---shop	2	3	3	1	1	4	0	1	1	0	0	0	1
pt interaction---work	29	40	52	12	18	4	2	2	0	4	0	1	7
sharing booking interaction---sharing pickup interaction	30	7	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	7	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	7	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	2	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	11	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	18	12	6	1	0	0	0	0	0	0	0	0	0
shop---home	146	135	65	31	19	14	12	9	4	3	4	1	14
shop---leisure	14	24	12	9	3	4	0	1	2	0	0	1	0
shop---pt interaction	2	2	1	0	2	1	0	1	1	0	0	1	0
shop---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	42	68	26	12	5	5	3	1	2	1	2	0	0
work---home	228	491	278	140	88	49	46	36	33	33	6	8	92
work---leisure	50	58	26	6	8	4	3	4	0	1	3	1	4
work---other	54	112	69	46	29	24	9	11	2	2	4	0	5
work---pt interaction	22	36	42	17	13	4	0	0	0	5	0	0	2
work---sharing booking interaction	14	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1071.3811905952975 seconds = 00:17:51
