pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
SharingPT interaction---pt interaction	2	0	2	0	0	0	0	0	0	0	0	0	0
education---other	31	66	32	23	10	10	11	3	1	3	3	1	6
home---education	57	55	27	14	6	9	4	2	4	2	4	4	12
home---leisure	603	237	125	51	25	19	20	11	19	36	42	13	15
home---other	220	211	168	68	61	38	21	7	16	6	10	0	18
home---pt interaction	5	17	9	11	5	17	6	7	3	2	3	3	17
home---sharing booking interaction	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	178	137	73	39	23	18	10	7	6	6	3	1	28
home---work	264	478	254	122	96	47	56	27	46	25	9	9	89
leisure---home	606	282	136	56	29	23	22	14	18	35	42	13	15
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	1	3	1	0	2	0	0	0	0	1	0	1	1
leisure---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	123	118	54	29	20	11	4	5	3	2	3	2	5
other---home	159	262	188	101	67	49	34	20	18	6	8	6	24
other---leisure	47	65	41	28	11	7	3	2	2	0	1	0	4
other---other	66	97	69	35	25	18	12	7	5	1	0	0	7
other---pt interaction	2	3	3	0	2	2	4	2	0	2	1	1	0
other---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	51	50	27	16	9	4	7	1	1	0	1	1	2
other---work	4	8	10	6	2	0	2	0	1	1	0	0	3
pt interaction---home	5	14	12	9	7	13	2	8	4	2	2	4	11
pt interaction---leisure	0	1	2	1	1	0	1	1	0	0	0	0	3
pt interaction---other	1	4	3	2	0	1	0	2	2	1	0	1	4
pt interaction---pt interaction	32	8	15	20	17	20	10	13	15	9	7	11	125
pt interaction---shop	3	2	1	1	0	3	0	0	1	0	0	0	0
pt interaction---work	23	27	29	7	12	2	1	2	0	1	0	0	3
sharing booking interaction---sharing pickup interaction	16	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	3	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	2	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	3	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	4	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	4	6	3	4	0	0	0	0	0	0	0	0	0
shop---home	159	126	56	27	20	14	9	8	5	4	3	1	25
shop---leisure	15	25	11	9	3	3	0	1	2	0	0	1	0
shop---pt interaction	2	3	1	0	4	0	0	0	1	0	0	1	0
shop---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	49	66	23	10	6	6	3	1	2	1	2	0	0
work---home	242	507	276	127	88	50	48	41	34	35	6	9	107
work---leisure	60	58	23	5	7	4	3	4	1	0	3	1	4
work---other	58	109	69	47	36	24	9	12	2	3	4	0	4
work---pt interaction	12	27	25	9	10	1	0	0	0	5	0	0	1
work---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1060.4579802870483 seconds = 00:17:40
