pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	7	0	2	0	0	0	0	0	0	0	0	0	0
education---other	30	60	35	24	11	11	8	6	2	3	3	0	7
home---education	52	58	28	11	7	9	6	3	3	2	5	1	15
home---leisure	599	268	166	58	20	16	19	10	12	11	15	4	9
home---other	207	206	179	70	55	35	22	6	16	4	7	0	19
home---pt interaction	13	25	33	19	13	16	17	12	6	2	5	3	38
home---sharing booking interaction	24	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	166	147	84	38	26	19	11	8	7	5	2	1	10
home---work	239	477	260	118	88	47	47	24	34	18	6	10	69
leisure---home	611	306	173	66	27	22	20	10	10	11	14	4	9
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	3	2	1	4	3	1	0	2	0	0	0	1	2
leisure---sharing booking interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	105	126	55	31	20	11	4	6	3	2	3	2	5
other---home	126	279	193	97	69	47	34	19	16	8	8	5	26
other---leisure	40	65	42	27	11	7	3	2	2	0	1	0	4
other---other	59	96	70	37	23	17	12	8	5	1	0	0	7
other---pt interaction	6	11	7	3	4	3	5	2	3	0	4	0	5
other---sharing booking interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	40	57	28	19	10	4	7	1	1	0	1	1	1
other---work	3	10	10	6	2	0	2	0	1	0	0	0	2
pt interaction---PTSharing interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	11	25	27	20	8	10	3	4	6	2	2	4	32
pt interaction---leisure	4	6	4	2	2	1	1	2	1	0	0	0	1
pt interaction---other	3	9	10	12	0	6	4	2	5	2	1	3	7
pt interaction---pt interaction	60	26	25	33	24	38	23	26	19	22	15	20	223
pt interaction---shop	2	2	3	0	1	4	0	1	1	1	0	0	1
pt interaction---work	27	47	56	13	20	3	2	3	0	5	0	1	7
sharing booking interaction---sharing pickup interaction	32	8	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	4	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	4	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	11	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	18	11	9	2	0	0	0	0	0	0	0	0	0
shop---home	142	142	64	34	19	14	12	9	4	3	2	1	9
shop---leisure	16	24	12	9	3	3	0	1	2	0	0	1	0
shop---pt interaction	1	3	1	1	4	1	0	1	1	0	0	1	0
shop---work	38	71	29	12	4	7	3	1	2	1	2	0	0
work---home	225	496	282	137	82	50	45	31	32	30	7	8	92
work---leisure	47	60	27	7	7	4	4	4	1	0	3	1	4
work---other	56	113	66	43	27	23	10	11	2	2	4	0	4
work---pt interaction	30	33	40	20	11	5	0	0	0	6	0	0	3
work---sharing booking interaction	16	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1064.2626789112269 seconds = 00:17:44
