pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	9	0	1	0	0	0	0	0	0	0	0	0	0
education---other	29	60	38	22	10	12	8	6	2	2	3	1	7
home---education	48	61	30	11	6	8	6	4	3	2	5	1	15
home---leisure	617	253	174	67	21	20	19	7	9	5	5	2	6
home---other	201	210	180	72	55	34	22	7	15	3	6	0	19
home---pt interaction	19	35	39	15	20	21	12	16	7	4	4	4	46
home---sharing booking interaction	24	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	165	140	89	47	30	18	13	7	6	7	1	1	3
home---work	227	458	254	121	96	42	52	20	30	16	6	10	63
leisure---home	617	285	191	74	28	22	21	7	8	5	4	2	6
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	4	4	2	5	2	2	2	2	0	1	0	1	3
leisure---sharing booking interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	97	132	56	30	19	12	4	5	3	2	3	2	5
other---home	126	271	191	99	67	45	35	17	16	8	8	4	27
other---leisure	41	67	39	21	16	8	3	2	2	0	1	0	4
other---other	54	93	73	37	22	20	13	6	5	1	0	0	6
other---pt interaction	3	10	12	8	5	1	2	4	4	2	7	1	8
other---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	43	58	25	15	10	4	6	1	1	0	1	1	1
other---work	4	9	10	7	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	16	27	39	22	10	16	3	7	4	2	3	5	39
pt interaction---leisure	6	4	6	3	1	2	1	1	0	0	0	0	5
pt interaction---other	4	9	12	6	2	4	2	3	2	4	1	3	7
pt interaction---pt interaction	70	26	31	33	35	46	31	22	28	24	26	26	251
pt interaction---shop	2	4	3	1	1	3	0	1	1	0	0	0	0
pt interaction---work	43	55	60	19	25	4	2	3	1	6	0	3	5
sharing booking interaction---sharing pickup interaction	58	2	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	10	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	21	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	2	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	4	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	20	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	30	18	11	0	1	0	0	0	0	0	0	0	0
shop---home	149	131	66	40	20	16	11	8	4	4	1	1	3
shop---leisure	11	26	12	11	3	3	0	1	2	0	0	1	0
shop---pt interaction	1	5	2	1	3	2	0	1	1	0	0	1	3
shop---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	43	67	25	10	6	6	3	1	1	1	1	0	0
work---home	196	497	296	132	84	47	43	35	26	28	7	7	88
work---leisure	50	62	21	7	6	4	3	4	1	0	3	1	4
work---other	46	113	71	48	37	20	10	11	2	3	4	0	4
work---pt interaction	30	41	36	17	24	4	0	1	1	4	0	0	3
work---sharing booking interaction	29	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1067.3582392593194 seconds = 00:17:47
