pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	8	0	1	0	0	0	0	0	0	0	0	0	0
education---other	29	60	36	24	10	11	9	6	2	2	3	1	7
home---education	48	61	30	10	7	8	6	4	3	2	5	1	15
home---leisure	598	266	174	67	22	19	18	8	9	6	4	2	6
home---other	196	214	180	72	55	35	20	8	15	4	6	0	19
home---pt interaction	18	37	38	15	25	20	10	15	7	4	5	5	45
home---sharing booking interaction	32	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	162	145	85	48	29	19	13	6	7	7	1	1	3
home---work	227	464	250	118	88	47	51	20	31	17	6	10	62
leisure---home	612	302	190	67	30	21	20	8	8	5	4	2	6
leisure---leisure	2	2	1	0	1	0	1	0	0	1	0	0	0
leisure---pt interaction	3	3	1	4	1	1	2	1	1	0	0	1	3
leisure---sharing booking interaction	8	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	99	128	60	30	20	12	4	5	3	2	3	2	5
other---home	121	272	188	106	67	47	35	17	16	8	8	4	27
other---leisure	39	70	40	22	14	8	3	2	2	0	1	0	4
other---other	59	94	67	39	25	19	13	7	5	1	0	0	6
other---pt interaction	4	11	10	6	7	4	3	5	3	3	3	2	5
other---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	43	58	26	14	9	4	6	1	1	0	1	1	1
other---work	4	10	10	6	2	0	2	0	1	0	0	0	1
pt interaction---PTSharing interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	14	26	37	21	8	17	4	7	8	5	3	5	39
pt interaction---leisure	8	5	6	0	0	2	2	1	0	0	0	0	3
pt interaction---other	4	11	8	7	3	3	1	3	3	2	1	2	7
pt interaction---pt interaction	66	28	32	38	40	46	24	24	19	22	24	24	257
pt interaction---shop	5	4	4	0	1	2	0	0	0	1	0	0	0
pt interaction---work	45	55	60	19	21	5	2	5	1	6	0	3	6
sharing booking interaction---sharing pickup interaction	59	6	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	20	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	8	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	4	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	21	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	27	21	13	3	0	0	0	0	0	0	0	0	0
shop---home	140	133	70	38	21	16	11	8	4	4	1	1	3
shop---leisure	10	26	12	11	4	3	1	1	2	0	0	1	0
shop---pt interaction	3	6	0	0	2	2	0	2	1	0	0	1	3
shop---sharing booking interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	43	68	23	12	6	5	3	1	1	1	1	0	0
work---home	208	492	295	126	81	43	43	36	26	29	7	7	88
work---leisure	50	62	21	6	7	4	3	4	1	0	3	1	4
work---other	47	109	74	48	37	23	9	11	2	2	4	0	4
work---pt interaction	33	45	35	19	21	4	1	1	1	3	0	0	3
work---sharing booking interaction	30	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1063.2691339988637 seconds = 00:17:43
