pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---pt interaction	9	0	2	0	0	0	0	0	0	0	0	0	0
education---other	30	59	38	22	11	11	8	6	2	3	3	0	7
home---education	49	61	28	11	7	9	6	3	3	2	5	1	15
home---leisure	605	255	175	59	24	15	20	10	10	8	11	4	7
home---other	200	209	182	66	56	34	22	6	16	4	6	0	19
home---pt interaction	18	29	41	17	17	20	16	13	4	3	5	4	39
home---sharing booking interaction	32	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	163	151	80	40	29	17	12	7	7	6	2	1	8
home---work	238	472	258	115	85	43	45	23	34	21	6	10	66
leisure---home	608	307	179	66	30	24	19	10	10	8	10	4	7
leisure---leisure	2	3	1	0	0	0	1	0	0	1	0	0	0
leisure---pt interaction	2	3	1	6	3	1	1	2	0	0	0	1	2
leisure---sharing booking interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	104	127	57	29	17	11	4	6	3	2	3	2	5
other---home	123	274	187	106	70	48	35	19	15	9	8	5	26
other---leisure	40	67	44	26	10	7	3	3	2	0	1	0	4
other---other	55	97	72	38	22	17	12	8	5	1	0	0	7
other---pt interaction	5	8	8	4	5	1	5	4	3	1	5	0	5
other---sharing booking interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	39	60	30	15	9	4	7	1	1	0	1	1	1
other---work	3	10	8	5	2	0	2	0	1	0	0	0	2
pt interaction---PTSharing interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	10	30	32	20	8	11	3	4	7	4	3	5	34
pt interaction---leisure	3	6	3	3	2	1	1	2	1	0	0	0	2
pt interaction---other	5	11	10	11	2	5	5	1	3	2	1	3	6
pt interaction---pt interaction	59	27	29	30	35	42	26	26	28	21	20	21	236
pt interaction---shop	2	4	4	0	1	3	0	1	1	1	0	0	1
pt interaction---work	33	52	60	16	23	5	2	3	2	5	0	2	7
sharing booking interaction---sharing pickup interaction	52	6	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	11	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	16	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	5	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	6	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	1	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	15	1	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	26	13	18	1	0	0	0	0	0	0	0	0	0
shop---home	142	140	66	37	20	13	12	8	5	3	2	1	7
shop---leisure	15	26	12	8	3	3	0	1	2	0	0	1	0
shop---pt interaction	1	4	1	1	3	2	0	1	1	0	0	1	1
shop---sharing booking interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	41	68	29	11	4	6	3	1	2	0	1	0	0
work---home	224	490	279	134	80	47	42	30	28	31	7	8	91
work---leisure	49	59	26	6	9	4	4	4	1	0	3	1	4
work---other	58	105	67	46	30	24	10	11	2	3	4	0	4
work---pt interaction	23	38	49	20	17	5	0	1	2	5	0	0	3
work---sharing booking interaction	23	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1063.1005230467474 seconds = 00:17:43
