pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
PTSharing interaction---sharing booking interaction	212	0	0	0	0	0	0	0	0	0	0	0	0
SharingPT interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	1
SharingPT interaction---pt interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
education---other	32	62	34	21	11	11	9	4	3	3	2	1	7
home---PTSharing interaction	0	0	1	1	1	1	1	3	3	4	2	1	58
home---education	49	60	30	10	7	10	6	2	3	2	5	2	14
home---leisure	546	215	124	42	21	11	14	8	4	13	9	2	20
home---other	187	185	136	57	48	27	13	3	16	11	17	1	40
home---pt interaction	18	35	31	15	14	15	12	13	8	2	5	4	26
home---sharing booking interaction	224	0	0	0	0	0	0	0	0	0	0	0	0
home---shop	151	136	70	40	24	16	9	6	1	5	1	0	27
home---work	186	420	208	106	75	24	28	18	17	10	4	5	127
leisure---PTSharing interaction	0	0	0	0	0	1	0	1	3	1	0	0	11
leisure---home	540	226	135	41	23	11	13	6	4	12	6	1	18
leisure---leisure	0	2	1	0	0	0	1	0	1	0	0	0	1
leisure---pt interaction	1	5	4	4	1	0	0	1	0	0	0	0	2
leisure---sharing booking interaction	71	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	82	86	40	29	15	6	2	1	2	1	2	0	14
other---PTSharing interaction	0	0	0	0	0	1	2	1	5	2	0	2	19
other---home	112	224	152	70	44	35	19	11	14	10	8	5	35
other---leisure	34	55	33	21	10	3	4	1	0	0	3	1	13
other---other	38	72	49	23	11	9	6	3	3	1	2	1	16
other---pt interaction	2	10	10	3	2	1	0	3	2	1	5	1	4
other---sharing booking interaction	59	0	0	0	0	0	0	0	0	0	0	0	0
other---shop	25	36	22	13	7	5	3	0	1	1	0	1	10
other---work	1	9	7	5	1	1	1	0	0	0	0	0	3
pt interaction---PTSharing interaction	41	0	7	0	0	0	0	0	0	0	0	0	0
pt interaction---home	14	21	13	6	11	12	3	6	8	1	1	5	19
pt interaction---leisure	5	2	4	0	0	1	2	0	1	0	0	0	1
pt interaction---other	3	6	3	7	3	5	2	1	4	4	0	3	5
pt interaction---pt interaction	44	24	21	33	27	35	20	16	16	15	15	20	188
pt interaction---shop	6	0	1	1	2	1	0	0	1	0	0	0	0
pt interaction---work	22	43	44	8	11	5	2	3	2	6	0	1	7
sharing booking interaction---sharing pickup interaction	163	10	0	0	0	1	0	0	0	0	0	0	0
sharing dropoff interaction---SharingPT interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---home	54	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---leisure	20	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---other	23	1	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---shop	14	0	0	0	0	0	0	0	0	0	0	0	0
sharing dropoff interaction---work	56	0	0	0	0	0	0	0	0	0	0	0	0
sharing pickup interaction---sharing dropoff interaction	52	38	38	28	11	1	0	0	0	0	0	2	3
sharing pickup interaction---sharing pickup interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
shop---PTSharing interaction	0	0	0	0	0	0	0	0	0	0	0	1	4
shop---home	137	117	50	31	19	8	9	6	3	2	1	1	20
shop---leisure	12	25	14	7	3	2	0	2	1	0	0	1	1
shop---pt interaction	2	5	2	1	3	1	0	1	1	0	0	0	2
shop---sharing booking interaction	23	0	0	0	0	0	0	0	0	0	0	0	0
shop---work	25	55	15	7	2	3	2	1	2	0	2	0	4
work---PTSharing interaction	0	0	0	1	1	1	0	1	0	2	0	0	28
work---home	177	425	216	89	68	25	19	24	16	9	6	7	125
work---leisure	29	41	18	4	5	2	2	3	1	1	2	0	4
work---other	31	72	41	34	23	12	6	5	4	1	4	0	21
work---pt interaction	24	29	35	8	11	3	0	0	2	4	0	0	0
work---sharing booking interaction	114	0	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 1540.005738500927 seconds = 00:25:40
